message,gold,pred,conf,risk,ev_quality,decision,reason,difficulty,top_sim,correct
spotify is using almost 8gb of my storage what,content_availability,general_complaint_feedback,0.8458,LOW,0.3466,AUTO-HANDLE,"intent confidence 0.85 and evidence quality 0.35 both clear threshold on a low-risk intent, with 1 supporting precedent(s)",hard,0.2589,False
"@SpotifyCares I think my account has been hacked, someone keeps playing music using Spotiamb 0.2.1 as a device - what do I do to resolve?",account_login_access,account_login_access,0.8815,HIGH,0.601,ESCALATE,Hard policy block: account_takeover_or_security,easy,0.3484,True
"@125633 Feature idea: Add your SoundCloud, YouTube etc. links to your Artist Page!",feature_how_to,general_complaint_feedback,0.9608,LOW,0.637,AUTO-HANDLE,"intent confidence 0.96 and evidence quality 0.64 both clear threshold on a low-risk intent, with 3 supporting precedent(s)",hard,0.2143,False
Is @115888 offline for anyone else?,playback_streaming_issue,general_complaint_feedback,0.6562,LOW,0.6487,ESCALATE,evidence flag: low_information_message,hard,0.4449,False
"@SpotifyCares But this still doesn't explain it.  I can find it through the web player and from Google which takes me to the album on the app, so the album is there.  However, if I look for the album by searching in the app for it, it's not.  That tells me the search function is different. ?",content_availability,general_complaint_feedback,0.8559,LOW,0.3386,ESCALATE,evidence flag: weak_similarity; evidence flag: no_supporting_case; evidence flag: conflicting_precedent,hard,0.1965,False
@115888 pleaseeee explain these suggestions. Listening to chris brown and these arent even the same genre. Never even played anything like this on my app 😑 https://t.co/E5gVeJhk76,content_availability,general_complaint_feedback,0.9518,LOW,0.5361,AUTO-HANDLE,"intent confidence 0.95 and evidence quality 0.54 both clear threshold on a low-risk intent, with 2 supporting precedent(s)",hard,0.22,False
"@SpotifyCares Yay all fixed, thank you :)",general_complaint_feedback,general_complaint_feedback,0.9694,LOW,0.6943,ESCALATE,evidence flag: low_information_message,medium,0.3432,True
@8286 @SpotifyCares we came across a few issues that need to be resolved. Please DM me for more details.,playback_streaming_issue,general_complaint_feedback,0.9693,LOW,0.6033,ESCALATE,evidence flag: precedent_is_boilerplate_only,easy,0.4041,False
@SpotifyCares OMG YOU GUYS REPLIED WOW HAHAHAHHAHAHA i'll have to check ithe other offer again but i'm hoping for the latter 😉,feature_how_to,general_complaint_feedback,0.7591,LOW,0.6574,AUTO-HANDLE,"intent confidence 0.76 and evidence quality 0.66 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.2712,False
Wtf... Why does spotify change song by itself?? keeps changing to the freaking russian anthem 🤔 @115888,playback_streaming_issue,general_complaint_feedback,0.9483,LOW,0.5005,ESCALATE,evidence flag: precedent_is_boilerplate_only,easy,0.2468,False
"@115888 So, I started the 3 months premium. When do I have I cancel if I want to? I mean, is it okay to cancel 2 days before the 3 months runs out? Or do I have to give you a month's notice, meaning 1 month before the 3 months runs out?",cancellation_request,cancellation_request,0.6542,HIGH,0.265,ESCALATE,evidence flag: intent_mismatch_with_precedent; evidence flag: precedent_is_boilerplate_only; high-risk intent requires human sign-off,easy,0.2129,True
@SpotifyCares premium acc. Searching for album. Want to listen in full. Green button is shuffle play. How do I play all tracks &amp; clear que?,feature_how_to,feature_how_to,0.4416,LOW,0.2763,ESCALATE,intent confidence 0.44 < 0.65; top-2 intents are close (margin 0.11 < 0.15): 'feature_how_to' vs 'general_complaint_feedback'; evidence flag: intent_mismatch_with_precedent,medium,0.233,True
@SpotifyCares Spotify randomly switches to a device named spotiamb2.0 and pauses the device I am playing on.  It happens on my PC and phone.,playback_streaming_issue,general_complaint_feedback,0.8442,LOW,0.3409,ESCALATE,evidence flag: weak_similarity; evidence flag: no_supporting_case,hard,0.1801,False
"@115888 there's something wrong with the share button on Android. Everytime i press it, the app restarts",app_device_bug,general_complaint_feedback,0.9245,LOW,0.6664,ESCALATE,evidence flag: conflicting_precedent,hard,0.4124,False
"@SpotifyCares Both, happens when I'm on data, on different wifis on the phone, with downloaded and not downloaded songs, and different pcs",playback_streaming_issue,general_complaint_feedback,0.9145,LOW,0.5019,ESCALATE,evidence flag: conflicting_precedent,hard,0.3199,False
"@115888 we are waiting for you in Russia, you are missing here)",content_availability,general_complaint_feedback,0.9363,LOW,0.6416,ESCALATE,evidence flag: low_information_message,hard,0.2844,False
