id,message,gold_intent,proposed_intent,weak_rule_label,model_pred,model_confidence,stratum,difficulty,label_source,reviewed,notes,conversation_id
1,spotify is using almost 8gb of my storage what,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.6726,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,40650
2,"@SpotifyCares I think my account has been hacked, someone keeps playing music using Spotiamb 0.2.1 as a device - what do I do to resolve?",account_login_access,account_login_access,account_login_access,account_login_access,0.9929,high_risk,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,67667
3,"@125633 Feature idea: Add your SoundCloud, YouTube etc. links to your Artist Page!",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9677,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,106359
4,Is @115888 offline for anyone else?,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.6104,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,108064
5,"@SpotifyCares But this still doesn't explain it.  I can find it through the web player and from Google which takes me to the album on the app, so the album is there.  However, if I look for the album by searching in the app for it, it's not.  That tells me the search function is different. ?",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,content_availability,0.4393,long,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,123465
6,@115888 pleaseeee explain these suggestions. Listening to chris brown and these arent even the same genre. Never even played anything like this on my app 😑 https://t.co/E5gVeJhk76,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9276,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,128200
7,"@SpotifyCares Yay all fixed, thank you :)",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9946,short,medium,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,130410
8,@8286 @SpotifyCares we came across a few issues that need to be resolved. Please DM me for more details.,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9837,per_intent:general_complaint_feedback,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,142997
9,@SpotifyCares OMG YOU GUYS REPLIED WOW HAHAHAHHAHAHA i'll have to check ithe other offer again but i'm hoping for the latter 😉,subscription_plan,subscription_plan,subscription_plan,general_complaint_feedback,0.4806,low_confidence,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,149344
10,Wtf... Why does spotify change song by itself?? keeps changing to the freaking russian anthem 🤔 @115888,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9014,per_intent:general_complaint_feedback,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,149381
11,"@115888 So, I started the 3 months premium. When do I have I cancel if I want to? I mean, is it okay to cancel 2 days before the 3 months runs out? Or do I have to give you a month's notice, meaning 1 month before the 3 months runs out?",cancellation_request,cancellation_request,cancellation_request,cancellation_request,0.9067,per_intent:cancellation_request,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,166650
12,@SpotifyCares premium acc. Searching for album. Want to listen in full. Green button is shuffle play. How do I play all tracks &amp; clear que?,subscription_plan,subscription_plan,subscription_plan,feature_how_to,0.5942,per_intent:subscription_plan,medium,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,203124
13,@SpotifyCares Spotify randomly switches to a device named spotiamb2.0 and pauses the device I am playing on.  It happens on my PC and phone.,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.7263,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,207228
14,"@115888 there's something wrong with the share button on Android. Everytime i press it, the app restarts",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9302,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,223018
15,"@SpotifyCares Both, happens when I'm on data, on different wifis on the phone, with downloaded and not downloaded songs, and different pcs",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9052,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,265579
16,"@115888 we are waiting for you in Russia, you are missing here)",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.8622,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,275225
17,@SpotifyCares I installed based on change from Groove. My version is 1.0.66.478.g1296534d.  Happened immediately after installing Spotify.,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,app_device_bug,0.7496,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,306146
18,"@115888 why is the player UI different in ""Today's Top Hits"", it's incredible, i'd like to enjoy it on my own playlists. Is it coming soon?",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9616,per_intent:general_complaint_feedback,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,310305
19,"@SpotifyCares offline mode slider won't show on macbook desktop, how to fix? I have premium with 1 other device connected. have reinstalled",playback_streaming_issue,playback_streaming_issue,playback_streaming_issue,playback_streaming_issue,0.4555,per_intent:playback_streaming_issue,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,353708
20,@116130 why am I not able to add a family member to Spotify family? Keep receiving this error. https://t.co/nvbLFGUnso,content_availability,content_availability,content_availability,subscription_plan,0.7213,per_intent:content_availability,medium,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,364163
21,@SpotifyCares Bummer! Thanks!,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.995,per_intent:general_complaint_feedback,medium,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,189825
22,@115888 when it'll be starts in India?,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,content_availability,0.5036,short,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,382065
23,"@SpotifyCares . @SpotifyCares @115888 any updates or tracking number or ANYTHING on this? This issue keeps getting comments, and all we see is tumbleweed",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.6898,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,395418
24,Far out I actually can’t believe how glitchy my Spotify is being lately... plz get it together @115888,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.3586,low_confidence,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,421932
25,"@SpotifyCares This has helped... For now!
When this problem occurs, are there any other ways to fix it without having to turn my decide off?",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.8173,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,443194
26,"@SpotifyCares Hi guys I already have a Premium acc but as a Vodafone customer have premium included in my phone package, how can I redeem this?",subscription_plan,subscription_plan,subscription_plan,subscription_plan,0.7566,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,454698
27,"@SpotifyCares Hello! I'm trying to log in to my web player on Chrome, but every time I'm taken to the login/sign up page, I click login, enter my username and password, then I'm taken back to the login/sign up page. Do you know what might be happening?",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,account_login_access,0.9706,long,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,460201
28,@117153 I'm seeing a lot of 503 errors from the API,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9794,short,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,462684
29,Ummmmmm @115888 where is @21464’s album?! 😩,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9347,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,466809
30,"@SpotifyCares what do I have to do to be able to listen to Booba's new album ""Trône""?",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.9797,per_intent:general_complaint_feedback,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,467612
31,"@117153 I know Spotify's going to enter my country - Vietnam so I'd like to change the country setting from US to Vietnam. However, it doesn't work. I only see one option which is US and nothing else. How can I deal with it, please?",feature_how_to,feature_how_to,feature_how_to,subscription_plan,0.5259,long,medium,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,477659
32,"@115888 i need to contact customer service in Spain, there is a problem with payment. help help @1390",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,billing_payment,0.5145,ambiguous,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,485531
33,"@SpotifyCares 2/2
I asked the handler of the family subscription to send me a new invitation. When I filled up the confirmation page I repeatedly got this message:
""3 - Oops something went wrong, please try again"".
Thanks for any help! :)",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,subscription_plan,0.4243,low_confidence,hard,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,500958
34,"@SpotifyCares It's almost 2018, please tell me you are going to make Siri work with Spotify!  That would make our roads much safer!",general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,general_complaint_feedback,0.8348,per_intent:general_complaint_feedback,easy,rule_proposed,False,no LLM configured: seeded from the weak-supervision rule label; MUST be human-reviewed before use,507395
