id,customer_message,predicted_intent,intent_confidence,risk_level,evidence_quality,top_similarity,decision,intent_correct,retrieval_good,evidence_sufficient,decision_correct,escalation_appropriate,reply_grounded,reply_quality,hallucination,generated_reply,human_notes,reviewer
1,@SpotifyCares when will reputation be available to stream??,content_availability,0.663,LOW,0.78,0.695,AUTO-HANDLE,yes,yes,yes,yes,n/a (auto-handled),yes,5,none,"Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned. For now, check out the singles: https://t.co/3h0TnPWP0c. Let us know if you have any other questions!","Best case in the sample. Four near-identical precedents (sim 0.70/0.69/0.61/0.52), all the same resolution. The draft reuses the brand's own wording including the real singles link from evidence; critic grounding 1.00. Auto-handling this is clearly right.",ai_simulated
2,@SpotifyCares hey how do I️ get verified?? Thanks!,feature_how_to,0.756,LOW,0.765,0.678,AUTO-HANDLE,yes,yes,yes,yes,n/a (auto-handled),partial,3,medium,"@SpotifyCares Hey! Check out the steps here: https://t.co/aR6VNZNfsw. If you have any questions, just head to https://t.co/p1wbtdELHu 🙂 /L","Intent and decision right, but on a re-run the draft said 'We've just sent a DM your way' - claiming an action the system never performed. Copied from a precedent where the brand really had sent one. Forbidden-commitment regexes do not currently cover claimed-action-by-us phrasing. Logged as an open issue, not fixed in MVP.",ai_simulated
3,id::93__credit_card__:@SpotifyCares My account was hacked/compromised. I’ve regained access and changed my password but I noticed there w,account_login_access,0.979,HIGH,0.636,0.514,ESCALATE,yes,yes,yes,yes,yes,yes,4,none,@124507 Hi Chris. That doesn't sound good! Can you DM us your account's email address or username? We'll take a look under the hood /WP https://t.co/ldFdZRiNAt,"Account-compromise language triggers the deterministic hard block, so it escalates regardless of the 0.98 confidence. Exactly the intended behaviour: the block fires on the raw message and the classifier cannot talk it out of it.",ai_simulated
4,@SpotifyCares hey I was charged today is there anyway that I can get a refund because the money that you cause took has made it so that I can't make the payment on my car and I really need that money back,billing_payment,0.975,HIGH,0.352,0.205,ESCALATE,yes,no,no,yes,yes,yes,3,none,"@user Hey there, help's arrived! Could you send us a DM with your account's email address and username? We'll take a look backstage /RV https://t.co/ldFdZRiNAt","Intent right (billing_payment, 0.97) but retrieval is weak - top similarity 0.20 and the precedents are all generic 'DM us' hand-offs. The system detected this itself (precedent_is_boilerplate_only) and escalated. Right outcome, and reached for the right reason rather than by luck.",ai_simulated
5,@115888  if i pay 10$ /m and im a student how do i get the discount ?,subscription_plan,0.492,MEDIUM,0.381,0.268,ESCALATE,partial,partial,no,yes,yes,yes,3,none,"@115888 Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG","Genuinely ambiguous: student-discount question sits between subscription_plan and feature_how_to. Model gave 0.49 with a 0.00 margin - a good calibration signal - and escalated. The draft asks for account details, which is a safe non-answer.",ai_simulated
6,"@SpotifyCares Phone: Samsung Galaxy 6, OS: Android 7.0, Spotify Version: 8.4.28.875.",general_complaint_feedback,0.496,LOW,0.631,0.493,ESCALATE,n/a (no standalone intent),partial,no,yes,yes,yes,3,none,"@154705 Hey, that doesn't sound right! Does restarting your device make any difference? Keep us in the loop /JP","Device specs only ('Samsung Galaxy 6, Android 7.0, Spotify 8.4.28.875') - a follow-up whose intent lives in the previous turn. No single-turn label is correct. Escalated on low confidence and zero margin, which is the right outcome.",ai_simulated
7,@SpotifyCares No it did not,general_complaint_feedback,0.913,LOW,0.944,1.0,AUTO-HANDLE,n/a (no standalone intent),no,no,no,no,no,1,high,"@328829 Thanks for confirming. Just to check, did you watch the video ad that grants you 30 minutes ad-free listening in full? /JE","THE WORST FAILURE FOUND, and it drove a code fix. 'No it did not' was AUTO-HANDLED at 0.91 confidence and 0.94 evidence quality because TF-IDF matched other short generic messages at similarity 1.00. The draft asked about a video ad - a total non-sequitur. Fixed by the low_information_message guard; this case now escalates.",ai_simulated
8,@SpotifyCares My Spotify isn't loading any playlists.,general_complaint_feedback,0.491,LOW,0.594,0.378,ESCALATE,no,partial,partial,yes,yes,yes,4,none,"@SpotifyCares Hey there, help's here! Could you let us know what device and Spotify version you're using? Also, does this happen on the web player too? We'll see what we can suggest /XX","'My Spotify isn't loading any playlists' should be playback_streaming_issue but was predicted general_complaint_feedback. The weak-supervision rules do not cover 'isn't loading'. Wrong intent, right decision - low confidence (0.49) caused an escalation that masked the classification error. The draft sensibly asks for device and version.",ai_simulated
9,hello my spotify problem still hasnt fixed and i realized it was bc of my country in apple id since its on korea 😩 so i had to cancel my applemusic subscription as well BUT FUCKING BITCH IT WASNT CANCELLED I STILL HAVE TO WAIT FOR FEW WEEKS TO CANCEL MY MEMBERSHIP IM MAD,cancellation_request,0.955,HIGH,0.483,0.22,ESCALATE,partial,no,no,yes,yes,yes,3,none,@671929 Hi Gavin! Could you send us a DM with your account's email address? We'll take a look backstage and see what we can suggest /DR,"Long multi-topic message about an Apple ID country change. Predicted cancellation_request (0.96) - defensible but the message is really about region/billing. Retrieval weak (0.22). High-risk intent forced escalation, which was right.",ai_simulated
10,"@SpotifyCares i was listening from my laptop and suddenly my music stopped, i check and see that spotify's logged me out. i try to log back in and it gives me this message. i click ""forgot pass"" (tho i didnt because it's saved to my comp) and it says my username/email dont exist? https://t.co/7BbEACSNXW",account_login_access,0.469,HIGH,0.497,0.235,ESCALATE,partial,no,no,yes,yes,yes,3,none,"@SpotifyCares Hey there, help's here! Could you DM us your account's username or email address? We'll take a look backstage /XX https://t.co/ldFdZRiNAt",Sudden logout mid-session. account_login_access is arguable but confidence was only 0.47 with a 0.00 margin against the runner-up. Retrieval poor (0.23). Escalated correctly. Shows the margin gate doing real work on a genuinely uncertain case.,ai_simulated
