message,reply,decision,intent,evidence_quality,grounding_score,relevance,correctness,grounding,helpfulness,tone,hallucination_risk,overall,reason,judge_backend
.@115888 you send me an email about premium yearly and the deny me from signing up. WTF....,"Hey Gavin! Right now, we don't offer telephone support, but we can gladly help you via Twitter. Let us know what's going on /BH",ESCALATE,general_complaint_feedback,0.4569,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.26, 0 policy violation(s)",heuristic
@SpotifyCares I installed based on change from Groove. My version is 1.0.66.478.g1296534d.  Happened immediately after installing Spotify.,Thanks! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /KL,ESCALATE,general_complaint_feedback,0.5226,1.0,5,5,5,5,5,5,5,"lexical grounding 1.00, top similarity 0.43, 0 policy violation(s)",heuristic
why arent twice’s korean versions of songs available in spotify au/nz 😠 @116380,Hey! Where possible we have both versions available. More info here: https://t.co/uKBxlsmKqi /RB,ESCALATE,general_complaint_feedback,0.6383,1.0,4,4,5,4,5,5,4,"lexical grounding 1.00, top similarity 0.35, 0 policy violation(s)",heuristic
"Dear @116130 you are officially shit. Your suggested songs ""feature"" ruins the listening experience turning everything into a @244027 playlist.","Hey there! Don’t worry, we can help. What’s happening exactly? Can you let us know the device, operating system, and app version you’re using? We'll see what we can suggest /PB",AUTO-HANDLE,general_complaint_feedback,0.4805,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.25, 0 policy violation(s)",heuristic
@SpotifyCares Spotify randomly switches to a device named spotiamb2.0 and pauses the device I am playing on.  It happens on my PC and phone.,"Thanks for getting back to us. Does restarting help? Is it happening on specific tracks and playlists, or all of them? /NQ",ESCALATE,general_complaint_feedback,0.3409,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.18, 0 policy violation(s)",heuristic
@SpotifyCares Windows 10 on desktop,"Thanks for that info. Does logging out, restarting your device, and logging back into Spotify help? Keep us posted /JI",ESCALATE,general_complaint_feedback,0.8115,1.0,5,5,5,5,5,5,5,"lexical grounding 1.00, top similarity 0.69, 0 policy violation(s)",heuristic
"@117153 i’ve subscribe, but my account still not active. Why is this happen??",Thanks for the feedback – we appreciate it! Don't worry. We’ll get this passed onto the right team 💚 /JN,ESCALATE,general_complaint_feedback,0.5249,1.0,4,4,5,4,5,5,4,"lexical grounding 1.00, top similarity 0.31, 0 policy violation(s)",heuristic
"@115888 why is the player UI different in ""Today's Top Hits"", it's incredible, i'd like to enjoy it on my own playlists. Is it coming soon?","Hi there! Our Curation team are independent, but we’ll pass on your suggestion /PL",AUTO-HANDLE,general_complaint_feedback,0.6822,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.27, 0 policy violation(s)",heuristic
"@SpotifyCares Ok, 2018 Skoda Kodiaq, Columbus Big Navi, CarPlay",https://t.co/qAh6tkevrD! You know where to find us if there's anything else /PL,AUTO-HANDLE,general_complaint_feedback,0.7387,1.0,5,5,5,5,3,5,5,"lexical grounding 1.00, top similarity 0.49, 0 policy violation(s)",heuristic
@115888 So 4.99 monthly for how long if i get it,"Hi! We won't be able to do that, but we’ll have it available to you as soon as it’s available to us. https://t.co/0i8GpimuDa /RB",ESCALATE,general_complaint_feedback,0.5188,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.22, 0 policy violation(s)",heuristic
"@SpotifyCares iPhone X, running 8.4.25.906, and I have an Echo and an Echo Dot, both of which were possessed at different times last night","Just to check, are you getting any specific error messages? If so, a screenshot can be handy /NG",ESCALATE,general_complaint_feedback,0.5719,1.0,4,4,5,4,3,5,4,"lexical grounding 1.00, top similarity 0.33, 0 policy violation(s)",heuristic
"@SpotifyCares Both, happens when I'm on data, on different wifis on the phone, with downloaded and not downloaded songs, and different pcs","We understand, but we're afraid this isn't possible. Don't worry! Can you DM us your account's email address? We'll see what we can suggest /GS https://t.co/ldFdZRiNAt",ESCALATE,general_complaint_feedback,0.5019,1.0,4,4,5,4,5,5,4,"lexical grounding 1.00, top similarity 0.32, 0 policy violation(s)",heuristic
@115888 it’s really distracting when Behind The Lyrics pops up and your driving. Maybe add an option to disable while driving,"Hey. We're afraid the option only prevents Behind the Lyrics from popping up automatically, but we'll make sure to pass on your feedback /AY",AUTO-HANDLE,general_complaint_feedback,0.6617,1.0,4,4,5,4,5,5,4,"lexical grounding 1.00, top similarity 0.29, 0 policy violation(s)",heuristic
@SpotifyCares I'm being charged for one account on two different cards. Please can you help?,Hey! Could you send us a screenshot of your bank statement via DM? Remember not to include your full card number for security reasons /LO https://t.co/ldFdZRiNAt,ESCALATE,general_complaint_feedback,0.5525,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.27, 0 policy violation(s)",heuristic
@SpotifyCares @136221 (with an android phone),"Thanks! Does logging out, restarting your phone, and then logging back in make a difference? /LO",ESCALATE,general_complaint_feedback,0.6759,1.0,5,5,5,5,5,5,5,"lexical grounding 1.00, top similarity 0.45, 0 policy violation(s)",heuristic
"@SpotifyCares . @SpotifyCares @115888 any updates or tracking number or ANYTHING on this? This issue keeps getting comments, and all we see is tumbleweed",You can find your Spotify version by opening the desktop app &gt; Help &gt; About Spotify. Hope this helps /MT,AUTO-HANDLE,general_complaint_feedback,0.5728,1.0,3,4,5,3,3,5,4,"lexical grounding 1.00, top similarity 0.23, 0 policy violation(s)",heuristic
@SpotifyCares I've been having troubles playing through Google Home today. Any ideas?,You're welcome! We hear you loud and clear. We can’t make any promises but we’ll pass your feedback onto the right folks /JX,AUTO-HANDLE,general_complaint_feedback,0.5278,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.23, 0 policy violation(s)",heuristic
@115888 Removing songs with Chris Brown from all of my curated playlists forever would be a great place to start!!,Hey there. These ideas are great! Suggest them in our Community at https://t.co/rtDvYZOF32 and get support from other users /WP,ESCALATE,general_complaint_feedback,0.5963,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.25, 0 policy violation(s)",heuristic
@115888 how do I make the little bloop noise go away so when I’m changing the bangerz I don’t almost burst my ear drums,"Hey Zach! Just to check, do you happen to be streaming the Stranger Things soundtrack? /AR",ESCALATE,feature_how_to,0.5202,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.27, 0 policy violation(s)",heuristic
Why aren't the Nicole Wray songs I want to listen to on @115888?,"Hey there! Fingers crossed we'll be able to have them soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /MO",AUTO-HANDLE,general_complaint_feedback,0.7305,1.0,5,5,5,5,5,5,5,"lexical grounding 1.00, top similarity 0.54, 0 policy violation(s)",heuristic
@117153 Hey my spotify keeps pausing / skipping to next song.  Any idea whats going on?,"Hey, help's here! Can you let us know your device's make/model, along with the exact operating system and Spotify version you're using? /RH",AUTO-HANDLE,playback_streaming_issue,0.5825,1.0,4,4,5,4,5,5,4,"lexical grounding 1.00, top similarity 0.31, 0 policy violation(s)",heuristic
"@SpotifyCares Additionally, it could provide metric on discover weekly 'success' via song retention. e.g. how many of the 30 songs are users 'keeping' per month? Will vote, ty.",Hey! It should improve as it gets to know you. Keep adding your fave tracks to Your Library/playlists. This'll mix things up 🙂 /AY,ESCALATE,general_complaint_feedback,0.3585,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.23, 0 policy violation(s)",heuristic
"@SpotifyCares Hey spotify, my account was hacked into about 30 minutes ago, and I would like to get it recovered as fast as possible.",Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /FR,ESCALATE,account_login_access,0.4604,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.24, 0 policy violation(s)",heuristic
How can I operate @115888 here in Saudi Arabia? I tried vpn didn’t work.,"Hi there! We're still not available in Saudi Arabia, but we're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP /BM",ESCALATE,feature_how_to,0.5966,1.0,5,5,5,5,5,5,5,"lexical grounding 1.00, top similarity 0.58, 0 policy violation(s)",heuristic
"@125633 had a recurring issue with distro appearing under the wrong artist on spotify, distribution still haven’t got a solution","Hey, we can help! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll see what we can do /JP",AUTO-HANDLE,general_complaint_feedback,0.589,1.0,4,4,5,4,5,5,4,"lexical grounding 1.00, top similarity 0.31, 0 policy violation(s)",heuristic
"@SpotifyCares I want to cancel whatever I am paying 9.99 a month for. I have no account apparently, so I can't cancel it! Free thru Toyota for a month maybe? Stop billing me.","Hi John, we'd be happy to help! Can you DM us with both of your account's usernames and email addresses? We'll check them out backstage /WW https://t.co/ldFdZRiNAt",ESCALATE,cancellation_request,0.3904,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.26, 0 policy violation(s)",heuristic
@SpotifyCares Im currently paying for a family subscription but now get it included in my phone package. Do I need to cancel and re-enstate?,"Hey, help's here! You can cancel your subscription at any time by heading to: https://t.co/Q1zNbUXR4q. When you're ready to resubscribe, you can go here: https://t.co/08kG2GBNp5. Stay awesome 😁 /JZ",ESCALATE,cancellation_request,0.5526,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.24, 0 policy violation(s)",heuristic
"@117153 Hi! My problem is everytime I try spotify premium, it always says ""Unable to Connect"". Thank you! :) https://t.co/csMOC1NVRl",No worries. Feel free to tweet us if there's anything else. https://t.co/uEkAlnxbzn /GK,AUTO-HANDLE,general_complaint_feedback,0.6885,1.0,4,4,5,4,3,5,4,"lexical grounding 1.00, top similarity 0.35, 0 policy violation(s)",heuristic
@115888 How are you gonna cancel my spotify family premium plan and now won't even let me sign back up for it?!,"Hmm. Just to check, are you not able to download the desktop app on your home computer at the moment? Also, is your work computer a desktop or laptop unit? /MT",ESCALATE,cancellation_request,0.4567,1.0,4,4,5,4,3,5,4,"lexical grounding 1.00, top similarity 0.34, 0 policy violation(s)",heuristic
"@SpotifyCares It's almost 2018, please tell me you are going to make Siri work with Spotify!  That would make our roads much safer!","Hi there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /RE",AUTO-HANDLE,general_complaint_feedback,0.4068,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.22, 0 policy violation(s)",heuristic
"@115888 so when are we going to be able to filter out own libraries? I want to spin my top 25 when I want to. Not when you decide to be generous enough to give me my ""top songs of 2016"" playlist. Open devolpment was way better than this bullshit. Why am I paying for this?","Hey Mike! We're afraid we don't have any info to share yet. Don't worry, we'll be sure to pass your feedback to the right folks /RA",AUTO-HANDLE,general_complaint_feedback,0.6629,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.28, 0 policy violation(s)",heuristic
Someone hacked my Facebook that was linked to my Spotify. Fucking lovely,"Hey, we’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next. If there's anything else, feel to send a tweet our way /YM",ESCALATE,account_login_access,0.5471,1.0,4,4,5,4,5,5,4,"lexical grounding 1.00, top similarity 0.29, 0 policy violation(s)",heuristic
@SpotifyCares Yes its okay,Nice! We're glad it's working now. Now let's... https://t.co/flUnoJ2P8u /TB,ESCALATE,general_complaint_feedback,0.683,1.0,5,5,5,5,5,5,5,"lexical grounding 1.00, top similarity 0.56, 0 policy violation(s)",heuristic
@115888 When Your services are coming to india?,Hey Rahul! We're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP /BX,AUTO-HANDLE,general_complaint_feedback,0.6835,1.0,5,5,5,5,5,5,5,"lexical grounding 1.00, top similarity 0.56, 0 policy violation(s)",heuristic
"@115888 IM From India . I cant sign Up into #Spotify 
When Will it Avail in my Country ? 😕","Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /GK",ESCALATE,general_complaint_feedback,0.5824,1.0,4,4,5,4,5,5,4,"lexical grounding 1.00, top similarity 0.32, 0 policy violation(s)",heuristic
"@115888 If I get partner Spotify through Starbucks, do I still get Hulu?","Hi! We won't be able to do that, but we’ll have it available to you as soon as it’s available to us. https://t.co/0i8GpimuDa /RB",ESCALATE,general_complaint_feedback,0.4482,1.0,3,4,5,3,5,5,4,"lexical grounding 1.00, top similarity 0.27, 0 policy violation(s)",heuristic
